Epsi_AM,Sigma_AM,Epsi_CBD,Rho_CBD,Kn,Gamman,Xu,slurry_density,visco1(18),visco2(125)
0.323,0.86,0.0873,0.142,16.3,41,0.003,1.111,3.803677419,2.982818182
0.420254,0.818315,0.0783316,0.0703684,16.151,12.0801,0.0039769,0.8895625,4.81516129,1.473459091
0.455912,0.783332,0.0916279,0.0831842,11.3448,19.1657,0.00465206,1.10746875,3.543451613,1.73945
0.0995781,0.85402,0.071758,0.155415,27.8542,8.15479,0.0154447,0.897763393,6.60633871,1.323063636
0.384347,0.985669,0.0130661,0.155133,5.78048,22.4446,0.00552732,1.885138393,4.610774194,3.5344
0.277431,0.772866,0.0613027,0.178595,17.8036,51.5918,0.00772692,1.180584821,4.348870968,3.247609091
0.314807,0.70489,0.0513419,0.162506,17.4389,8.20857,0.0171675,1.148214286,3.20533871,0.003798191
0.183027,0.882091,0.01097,0.194691,28.6572,53.5317,0.0111005,0.978017857,5.47083871,4.000031818
0.341225,0.8,0.06732,0.162603,16.3685,31,0.0068,1.177464286,4.393306452,2.557931818
0.320454,0.758315,0.0583516,0.0789693,13.8495,5,0.0077769,0.991450893,4.006032258,0.697704545
0.486024,0.7338,0.0730013,0.122184,15.5585,18.505,0.00504713,1.076870536,4.359580645,1.398709091
0.151735,0.808627,0.051778,0.168526,22.5542,5,0.0187249,1.029370536,4.437403226,0.43062
0.375806,0.925669,0.0330461,0.187703,11.0805,12.4446,0.00932732,1.506169643,4.637870968,1.704459091
0.331938,0.712866,0.0661449,0.164278,16.1787,41.5918,0.0104694,1.192379464,3.932435484,2.884172727
0.33924,0.733722,0.0567861,0.186642,16.6531,7.95298,0.0178309,1.249191964,3.206290323,0.072329091
0.260845,0.822091,0.03095,0.171607,26.1098,43.5317,0.0149005,0.965040179,4.699112903,3.38705
0.339747,0.74,0.0717711,0.181199,16.4732,25.3644,0.0106,1.234834821,4.682403226,1.161140909
0.267178,0.7,0.0433369,0.117969,13.018,5,0.0115769,1.164138393,2.618435484,0.374911364
0.424467,0.756402,0.0530213,0.161184,18.0564,11.1036,0.00884713,1.119611607,5.537064516,1.085390909
0.353649,0.865669,0.0525676,0.2,16.3805,5,0.0131273,1.292566964,4.658306452,0.881286364
0.381901,0.7,0.0582231,0.175873,15.1765,31.5918,0.0142694,1.268660714,3.578258065,2.313372727
0.360645,0.762091,0.05093,0.162368,22.3254,35.9454,0.0187005,1.015522321,4.571467742,2.747781818
0.304096,0.70226,0.052434,0.142199,13.6602,24.1444,0.0112124,1.207084821,3.732290323,1.025404545
0.228295,0.7,0.0323785,0.146433,12.4111,5,0.0143503,1.296700893,1.919096774,0.107906364
0.324667,0.747116,0.0503836,0.122184,14.1924,6.79806,0.0126471,1.128705357,3.453322581,0.445472273
0.315507,0.805669,0.0585813,0.2,19.3952,5,0.0152261,1.196741071,5.022225806,0.80625
0.282101,0.7,0.0516324,0.136873,13.7313,21.5918,0.0143252,1.198848214,3.189354839,0.031676955
0.263738,0.7,0.0618932,0.161,13.6608,7.60699,0.0158103,1.287424107,2.014548387,0.015393545
0.342633,0.702091,0.0563126,0.155226,17.0254,25.9454,0.0172031,1.136629464,4.221032258,0.499281818
0.215707,0.755409,0.0386013,0.161,14.0952,5,0.012523,1.265589286,3.38533871,0.305025455
0.185066,0.7,0.0419132,0.127248,11.2525,5,0.0122987,1.286727679,2.216193548,0.084345455
0.277201,0.7,0.0392508,0.116965,11.6974,5.62788,0.012224,1.22334375,2.549435484,0.239881364
0.240293,0.710586,0.0208014,0.128535,12.2915,5,0.0144004,1.237209821,1.946225806,0.049146364
0.133863,0.775997,0.0467708,0.160028,16.6136,5,0.0163216,1.166165179,3.779290323,0.316205455
0.145129,0.7,0.02308,0.122,9.48827,5,0.0110716,1.378540179,2.183258065,0.168525909
0.231949,0.7,0.0252952,0.162905,11.811,5,0.0118369,1.38965625,2.695677419,0.135055455
0.274008,0.7,0.0413872,0.141981,11.352,8.25464,0.015018,1.336973214,1.784919355,0.086371818
0.327953,0.7,0.0468367,0.128478,12.5046,5,0.0135598,1.225772321,2.707887097,0.159905909
0.276479,0.7,0.0458276,0.156864,11.7506,9.00312,0.0132652,1.370111607,2.216,0.114232727
0.265535,0.7,0.0151774,0.146827,13.5274,6.26582,0.0130266,1.244651786,2.784274194,0.087364545
0.233663,0.818994,0.0435321,0.163136,19.6829,5.91349,0.0162219,1.081897321,4.616870968,0.616931818
0.166505,0.7,0.0358745,0.109348,8.75617,5,0.0130527,1.378410714,1.45418871,0.182614091
0.296761,0.7,0.0421176,0.139577,11.0796,5,0.0145628,1.343517857,1.83033871,0.049226818
0.306858,0.7,0.0484347,0.101291,9.13237,5,0.0126816,1.314794643,1.954854839,0.37726
0.211993,0.7,0.0272004,0.117864,10.0446,5,0.0129168,1.322955357,1.957870968,0.019604273
0.165735,0.7,0.0184608,0.107827,13.3558,5.19591,0.0124059,1.115459821,2.685177419,0.272914545
0.202294,0.790793,0.0327853,0.124136,14.3829,5.66936,0.0159151,1.127776786,2.981629032,0.017059636
0.182107,0.7,0.0452124,0.100113,8.22186,5,0.0144986,1.379745536,1.25868871,0.240072727
0.332503,0.7,0.0444303,0.117527,12.1686,11.2061,0.0128522,1.201857143,2.818129032,0.198894545
0.282043,0.7,0.0448443,0.080815,5.50809,5,0.0124221,1.574410714,1.362877419,0.437367727
0.143012,0.708551,0.0384408,0.0844999,8.41584,5,0.015091,1.29525,0.881808065,0.125056364
0.176691,0.730793,0.0250298,0.0862593,10.1783,5.14016,0.0150868,1.186191964,1.248340323,0.011152409
0.352624,0.7,0.0462634,0.0785268,11.4866,5,0.0134674,1.088513393,1.969516129,0.254831818
0.151655,0.7,0.051087,0.109147,8.5197,5,0.0144734,1.39559375,1.210077419,0.049052727
0.262856,0.7,0.0451888,0.108646,6.67913,5,0.0139807,1.569473214,0.973635484,0.170874091
0.236791,0.711632,0.0582134,0.0651749,3.5,5,0.0135338,1.855508929,1.529503226,0.534386364
0.208832,0.7,0.0351919,0.055978,6.80646,5,0.0127787,1.298642857,1.579801613,0.382315909
0.226196,0.7,0.047504,0.0876134,5.84128,5,0.0132372,1.565709821,1.239303226,0.377585909
0.352647,0.7,0.0475845,0.0527707,9.4929,5,0.0134606,1.087982143,1.872032258,0.347521818
0.245675,0.7,0.0457955,0.0830429,6.66385,5,0.0125092,1.445459821,1.510806452,0.288217273
0.333958,0.7,0.0614298,0.0968003,5.1414,5,0.0115953,1.716178571,1.492774194,0.687581818
0.163806,0.703233,0.0695326,0.0633368,6.58699,5,0.0130466,1.355330357,1.544677419,0.439664545
0.244958,0.7,0.0498093,0.055029,3.53949,5,0.0112456,1.78078125,1.719241935,0.023342409
0.250063,0.7,0.0442024,0.0834093,4.38845,5,0.0115463,1.775700893,1.340090323,0.633545455
0.315158,0.7,0.0470599,0.10728,8.3664,11.1436,0.0126266,1.399035714,1.84683871,0.405782727
0.145875,0.7,0.0657755,0.0675258,7.86195,5,0.0134405,1.261973214,1.705241935,0.321982273
0.248485,0.7,0.078299,0.0753924,4.88408,5,0.0100485,1.638513393,2.123096774,0.850245455
0.110539,0.7,0.0777939,0.0619953,8.84,5,0.012691,1.167745536,1.783322581,0.2819
0.264476,0.7,0.0545117,0.0616363,6.01771,5,0.010998,1.408522321,2.283274194,0.591781818
0.150721,0.7,0.0633827,0.0972657,10.7194,5,0.0141317,1.20025,1.623774194,0.11971
0.215358,0.7,0.0616552,0.0744703,7.22026,7.07,0.0100922,1.349200893,2.369629032,0.653104545
0.202803,0.70197,0.0728372,0.0831658,6.89696,5,0.0123025,1.42128125,1.936451613,0.505313636
0.180778,0.7,0.0662229,0.0629355,8.16504,5,0.0129283,1.2179375,1.845032258,0.310974091
0.164676,0.7,0.0584904,0.0658122,8.10923,5,0.0128649,1.235334821,1.930822581,0.22974
0.163195,0.7,0.0623394,0.0594867,6.56111,5,0.0151127,1.338602679,0.719814516,0.179351818
0.241643,0.700327,0.0796407,0.06604,7.64429,5,0.0126924,1.271638393,2.054177419,0.474313636
0.143927,0.700769,0.0791528,0.0679145,7.84977,5,0.01391,1.264290179,1.383896774,0.331568636
0.11598,0.701284,0.0687506,0.0759845,7.33626,7.53508,0.0126022,1.346017857,1.60048871,0.267957727
0.242856,0.700872,0.0579434,0.0636692,6.28871,5,0.0122378,1.388227679,1.986564516,0.508340909
0.207036,0.701926,0.075531,0.0697967,6.36986,5,0.0134421,1.409754464,1.539764516,0.290014545
0.192155,0.700701,0.0596735,0.0702234,10.7015,5,0.0131387,1.094870536,1.656548387,0.306568182
0.148524,0.700049,0.0503427,0.0867289,9.5546,5,0.0126022,1.226629464,2.003145161,0.175386818
0.280354,0.7,0.0677451,0.0774413,5.35762,5,0.014714,1.57546875,0.935064516,0.184948182
0.192773,0.7,0.057899,0.0569432,6.55604,5,0.0118943,1.327223214,1.728612903,0.504854545
0.204453,0.7,0.0693854,0.0863136,9.81127,5,0.0132025,1.208138393,1.857016129,0.283610909
0.0923552,0.700981,0.0548318,0.0727192,10.0323,5,0.014605,1.141160714,1.359106452,0.0177385
0.146338,0.700734,0.0907447,0.0794206,6.85825,5,0.0139066,1.406723214,1.338714516,0.256204091
0.0864285,0.7,0.0495955,0.0752009,5.34733,5,0.0134828,1.569022321,0.602032258,0.191776818
0.297037,0.7,0.0624056,0.0850771,6.16085,5,0.012363,1.511361607,1.720193548,0.616309091
0.10076,0.70361,0.0694456,0.0690788,8.32892,5,0.0132623,1.233959821,1.352127419,0.22312
