mLoad,Composition,StoL,Viscosity
Low,95,65.0244798,1.71
Low,95,67.70851938,2.64
Low,96,71.04617514,2.64
Low,96,70.83531733,2.46
Low,96,73.29101254,3.1
Low,96,66.90763052,1.36
Low,94,64.99196179,2.7
Low,94,60.01497885,1.62
Low,96,68.9227205,1.71
Low,92.7,55.00598325,2.17
Low,96,66.90763052,1.64
Low,94,64.99196179,3.33
Low,92.7,58.00153751,2.89
Low,92.7,59.98608212,3.89
Low,94,62.97727813,3.12
Low,94,64.99196179,4
Low,94,64.9032275,3.85
Low,95,69.95824336,4.86
Low,95,69.95220429,5
Low,94,67.69456681,5.46
Low,96,66.90647482,2.14
Low,95,70.99697885,5.83
Low,92.7,55.00598325,3.32
Low,94,60.0225714,3.74
Low,94,60.01497885,2.82
Medium,92.7,58.00153751,4.62
Medium,92.7,59.98608212,6
Medium,94,63.00683371,5
Medium,95,65.0244798,3.73
Medium,94,62.97727813,4.67
Medium,94,64.9032275,5.85
Medium,96,66.90763052,2.78
Medium,92.7,55.00598325,4.39
Medium,94,67.69456681,8.59
Medium,96,71.04617514,5.33
Medium,95,67.70851938,5.97
Medium,96,66.90647482,2.94
Medium,94,60.0225714,4.56
Medium,95,69.95220429,7.95
Medium,96,68.9227205,3.54
Medium,96,73.29101254,6.35
Medium,92.7,58.00153751,6
Medium,95,69.95824336,7.56
Medium,94,60.01497885,3.27
Medium,96,70.83531733,5.38
Medium,92.7,59.98608212,7.97
Medium,95,70.99697885,9.08
Medium,95,65.0244798,4.31
Medium,94,63.00683371,6.13
Medium,92.7,55.00598325,5.35
Medium,94,64.9032275,7.63
High,94,64.99196179,7.69
High,94,60.0225714,5.49
High,96,66.90763052,3.21
High,92.7,58.00153751,7.2
High,94,67.69456681,11.16
High,95,67.70851938,7.25
High,94,60.01497885,3.78
High,96,68.78612717,2.7
High,96,66.90647482,3.49
High,92.7,59.98608212,9.74
High,96,71.04617514,6.39
High,95,69.95220429,9.97
High,95,69.95824336,9.61
High,96,70.83531733,6.25
High,94,62.97727813,7.4
High,94,63.00683371,7.4
High,96,73.29101254,7.61
High,95,70.99697885,11.47
High,95,65.0244798,4.98
High,96,72.8508478,7.88
High,94,64.9032275,9.17
High,94,67.69456681,13.19
High,96,66.90647482,3.96
High,96,68.78612717,3.05
High,96,66.90763052,3.71
High,95,69.95220429,11.49
High,96,71.04617514,7.31
High,95,69.95824336,11.18
High,96,73.29101254,8.62
High,96,70.83531733,7.26
High,95,70.99697885,13.29
