,Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,"CC,AM","CC,CBD",Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
1,1,93,7,40,50,50,"96,2",1,"6,982","2,095","32,28","20,13","56,5","0,36248060015981","174,20989644446","0,058094498937099","2,64234744119694","1,44741148261301"
2,1,94,6,40,50,50,"97,1",1,"6,014","2,143","31,34","18,67","58,8","0,37091561348838","174,20989644446","0,069014727551297","2,45234581574459","1,46389890361322"
3,1,95,5,40,50,50,"97,9",1,"5,529","2,154","34,21",,"59,8","0,37935062681695","174,20989644446","0,076775791537017","2,35138257202013","1,46765118471659"
4,1,96,4,40,50,50,"98,8",1,"4,808","2,168","36,18","12,63","62,2","0,38778564014552","174,20989644446","0,090252107180291","2,19271521178652","1,47241298554448"
5,11,93,7,40,50,50,"96,1",1,"7,066","2,096","34,1","20,02","56,39","0,36136796197981","132,510528403874","0,057227674703568","2,6581948762271","1,44775688566831"
6,11,94,6,40,50,50,97,1,"6,516","2,103","33,87","17,99","57,4","0,36980297530838","132,510528403874","0,063506680382148","2,55264568634192","1,4501724035438"
7,11,95,5,40,50,50,"97,8",1,"5,557","2,146","37,55","14,92","59,7","0,37823798863695","132,510528403874","0,076164892799127","2,35732899697942","1,4649232061784"
8,11,96,4,40,50,50,"98,7",1,"4,788","2,165","35,24","12,49","62,06","0,38667300196552","132,510528403874","0,090369066248834","2,18814990345726","1,47139389695622"
9,21,93,7,40,50,50,"96,1",1,"7,159","2,094","30,57","20,7","56,4","0,36142256419981","100,432501272057","0,056492785212961","2,67563076675389","1,44706599711278"
10,21,94,6,40,50,50,97,1,"6,418","2,097","31,67","18,58","57,4","0,36985757752838","100,432501272057","0,064485919173303","2,53337719260279","1,44810220633766"
11,21,95,5,40,50,50,"97,8",1,"5,503","2,132","33,68","15,82","59,7","0,37829259085695","100,432501272057","0,076923388909491","2,34584739486609","1,46013697987552"
12,21,96,4,40,50,50,"98,7",1,"4,795","2,167","36,8","12,76","62,08","0,38672760418552","100,432501272057","0,090249883020563","2,18974884404582","1,47207336773681"
